district,year,week_number,temp_mean,rainfall_total,rain_sum,wind_max
athurugiriya,2010,1,25.342857142857145,4.3999999999999995,4.3999999999999995,14.485714285714284
athurugiriya,2010,2,26.2,8.3,8.3,11.87142857142857
athurugiriya,2010,3,26.314285714285713,0.5,0.5,14.542857142857143
athurugiriya,2010,4,27.342857142857145,23.700000000000003,23.700000000000003,15.5
athurugiriya,2010,5,26.857142857142858,5.6,5.6,16.814285714285713
athurugiriya,2010,6,27.24285714285714,3.9,3.9,11.62857142857143
athurugiriya,2010,7,27.457142857142856,28.4,28.4,9.128571428571428
athurugiriya,2010,8,27.514285714285712,4.3,4.3,11.285714285714286
athurugiriya,2010,9,27.74285714285714,1.4,1.4,13.785714285714286
athurugiriya,2010,10,28.657142857142855,9.6,9.6,10.814285714285715
athurugiriya,2010,11,28.414285714285715,1.9,1.9,10.700000000000001
athurugiriya,2010,12,28.142857142857142,31.7,31.7,11.414285714285715
athurugiriya,2010,13,27.585714285714285,34.9,34.9,11.028571428571428
athurugiriya,2010,14,27.271428571428572,95.2,95.2,8.585714285714285
athurugiriya,2010,15,27.385714285714283,41.7,41.7,10.542857142857143
athurugiriya,2010,16,27.085714285714285,58.1,58.1,12.285714285714286
athurugiriya,2010,17,27.485714285714288,65.2,65.2,8.842857142857143
athurugiriya,2010,18,27.214285714285715,64.8,64.8,12.657142857142857
athurugiriya,2010,19,27.428571428571427,43.6,43.6,13.614285714285714
athurugiriya,2010,20,26.342857142857145,119.89999999999999,119.89999999999999,18.12857142857143
athurugiriya,2010,21,27.057142857142857,42.9,42.9,17.82857142857143
athurugiriya,2010,22,27.099999999999998,55.400000000000006,55.400000000000006,15.9
athurugiriya,2010,23,26.37142857142857,121.8,121.8,19.514285714285712
athurugiriya,2010,24,26.428571428571427,36.2,36.2,15.028571428571428
athurugiriya,2010,25,26.642857142857142,79.6,79.6,17.84285714285714
athurugiriya,2010,26,26.02857142857143,96.3,96.3,18.314285714285713
athurugiriya,2010,27,26.37142857142857,52.1,52.1,12.557142857142859
athurugiriya,2010,28,25.97142857142857,108.5,108.5,18.74285714285714
athurugiriya,2010,29,26.314285714285713,53.0,53.0,16.62857142857143
athurugiriya,2010,30,26.342857142857145,36.7,36.7,16.085714285714285
athurugiriya,2010,31,26.3,30.700000000000003,30.700000000000003,16.15714285714286
athurugiriya,2010,32,26.285714285714285,62.3,62.3,18.885714285714283
athurugiriya,2010,33,25.857142857142858,36.0,36.0,18.157142857142855
athurugiriya,2010,34,25.814285714285713,67.80000000000001,67.80000000000001,19.75714285714286
athurugiriya,2010,35,25.87142857142857,36.6,36.6,17.914285714285715
athurugiriya,2010,36,26.114285714285717,32.0,32.0,14.428571428571429
athurugiriya,2010,37,26.042857142857144,78.0,78.0,16.52857142857143
athurugiriya,2010,38,25.557142857142857,88.5,88.5,12.314285714285715
athurugiriya,2010,39,25.114285714285717,158.4,158.4,11.299999999999999
athurugiriya,2010,40,26.357142857142858,74.5,74.5,20.685714285714287
athurugiriya,2010,41,26.442857142857143,17.5,17.5,17.22857142857143
athurugiriya,2010,42,26.185714285714287,8.4,8.4,15.72857142857143
athurugiriya,2010,43,25.657142857142855,71.69999999999999,71.69999999999999,11.742857142857144
athurugiriya,2010,44,25.814285714285713,74.5,74.5,14.085714285714285
athurugiriya,2010,45,25.67142857142857,133.1,133.1,10.428571428571429
athurugiriya,2010,46,25.32857142857143,70.4,70.4,9.685714285714285
athurugiriya,2010,47,25.042857142857144,139.8,139.8,10.542857142857143
athurugiriya,2010,48,24.87142857142857,171.4,171.4,12.814285714285713
athurugiriya,2010,49,24.957142857142856,112.5,112.5,15.528571428571428
